sentences,ground_truth,total_words,bert_raw,bert_prediction,bert_successes,bert_prediction_length
"['Defender', 'Hassan', 'Abbas', 'rose', 'to', 'intercept', 'a', 'long', 'ball', 'into', 'the', 'area', 'in', 'the', '84th', 'minute', 'but', 'only', 'managed', 'to', 'divert', 'it', 'into', 'the', 'top', 'corner', 'of', 'Bitar', ""'s"", 'goal', '.']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",31,"[{'entity': 'B-PER', 'score': 0.99953103, 'index': 3, 'word': 'Hassan', 'start': 9, 'end': 15}, {'entity': 'I-PER', 'score': 0.99965537, 'index': 4, 'word': 'Abbas', 'start': 16, 'end': 21}, {'entity': 'B-ORG', 'score': 0.98183286, 'index': 31, 'word': 'Bit', 'start': 138, 'end': 141}, {'entity': 'I-ORG', 'score': 0.97064227, 'index': 32, 'word': '##ar', 'start': 141, 'end': 143}]","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]",30,31
"['Nader', 'Jokhadar', 'had', 'given', 'Syria', 'the', 'lead', 'with', 'a', 'well-struck', 'header', 'in', 'the', 'seventh', 'minute', '.']","[1, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,"[{'entity': 'B-PER', 'score': 0.9996823, 'index': 1, 'word': 'Na', 'start': 0, 'end': 2}, {'entity': 'B-PER', 'score': 0.9823568, 'index': 2, 'word': '##der', 'start': 2, 'end': 5}, {'entity': 'I-PER', 'score': 0.99973744, 'index': 3, 'word': 'Jo', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.999311, 'index': 4, 'word': '##kha', 'start': 8, 'end': 11}, {'entity': 'I-PER', 'score': 0.99703574, 'index': 5, 'word': '##dar', 'start': 11, 'end': 14}, {'entity': 'B-LOC', 'score': 0.9998566, 'index': 8, 'word': 'Syria', 'start': 25, 'end': 30}]","[1, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,16
"['Japan', 'then', 'laid', 'siege', 'to', 'the', 'Syrian', 'penalty', 'area', 'for', 'most', 'of', 'the', 'game', 'but', 'rarely', 'breached', 'the', 'Syrian', 'defence', '.']","[5, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]",21,"[{'entity': 'B-LOC', 'score': 0.99983203, 'index': 1, 'word': 'Japan', 'start': 0, 'end': 5}, {'entity': 'B-MISC', 'score': 0.9997557, 'index': 7, 'word': 'Syrian', 'start': 29, 'end': 35}, {'entity': 'B-MISC', 'score': 0.9997476, 'index': 20, 'word': 'Syrian', 'start': 94, 'end': 100}]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",19,21
"['Bitar', 'pulled', 'off', 'fine', 'saves', 'whenever', 'they', 'did', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-PER', 'score': 0.9605482, 'index': 1, 'word': 'Bit', 'start': 0, 'end': 3}]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",8,9
"['Japan', 'coach', 'Shu', 'Kamo', 'said', ':', ""'"", ""'"", 'The', 'Syrian', 'own', 'goal', 'proved', 'lucky', 'for', 'us', '.']","[5, 0, 1, 2, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]",17,"[{'entity': 'B-LOC', 'score': 0.9998092, 'index': 1, 'word': 'Japan', 'start': 0, 'end': 5}, {'entity': 'B-PER', 'score': 0.99978834, 'index': 3, 'word': 'Shu', 'start': 12, 'end': 15}, {'entity': 'I-PER', 'score': 0.9996524, 'index': 4, 'word': 'Ka', 'start': 16, 'end': 18}, {'entity': 'I-PER', 'score': 0.99554175, 'index': 5, 'word': '##mo', 'start': 18, 'end': 20}, {'entity': 'B-MISC', 'score': 0.9997515, 'index': 11, 'word': 'Syrian', 'start': 36, 'end': 42}]","[5, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",16,17
"['The', 'Syrians', 'scored', 'early', 'and', 'then', 'played', 'defensively', 'and', 'adopted', 'long', 'balls', 'which', 'made', 'it', 'hard', 'for', 'us', '.', ""'""]","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",20,"[{'entity': 'B-MISC', 'score': 0.999587, 'index': 2, 'word': 'Syrian', 'start': 4, 'end': 10}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",19,20
"[""'""]",[0],1,[],[0],1,1
"['Japan', ',', 'co-hosts', 'of', 'the', 'World', 'Cup', 'in', '2002', 'and', 'ranked', '20th', 'in', 'the', 'world', 'by', 'FIFA', ',', 'are', 'favourites', 'to', 'regain', 'their', 'title', 'here', '.']","[5, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",26,"[{'entity': 'B-LOC', 'score': 0.99985147, 'index': 1, 'word': 'Japan', 'start': 0, 'end': 5}, {'entity': 'B-MISC', 'score': 0.9981667, 'index': 8, 'word': 'World', 'start': 24, 'end': 29}, {'entity': 'I-MISC', 'score': 0.9985482, 'index': 9, 'word': 'Cup', 'start': 30, 'end': 33}, {'entity': 'B-ORG', 'score': 0.99879277, 'index': 19, 'word': 'FIFA', 'start': 74, 'end': 78}]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",24,26
"['Hosts', 'UAE', 'play', 'Kuwait', 'and', 'South', 'Korea', 'take', 'on', 'Indonesia', 'on', 'Saturday', 'in', 'Group', 'A', 'matches', '.']","[0, 5, 0, 5, 0, 5, 6, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]",17,"[{'entity': 'B-LOC', 'score': 0.9998109, 'index': 3, 'word': 'UAE', 'start': 6, 'end': 9}, {'entity': 'B-LOC', 'score': 0.99982196, 'index': 5, 'word': 'Kuwait', 'start': 15, 'end': 21}, {'entity': 'B-LOC', 'score': 0.999783, 'index': 7, 'word': 'South', 'start': 26, 'end': 31}, {'entity': 'I-LOC', 'score': 0.99919695, 'index': 8, 'word': 'Korea', 'start': 32, 'end': 37}, {'entity': 'B-LOC', 'score': 0.9998074, 'index': 11, 'word': 'Indonesia', 'start': 46, 'end': 55}]","[0, 5, 0, 5, 0, 5, 6, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]",17,17
"['All', 'four', 'teams', 'are', 'level', 'with', 'one', 'point', 'each', 'from', 'one', 'game', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13,[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13,13
"['RUGBY', 'UNION', '-', 'CUTTITTA', 'BACK', 'FOR', 'ITALY', 'AFTER', 'A', 'YEAR', '.']","[3, 4, 0, 1, 0, 0, 5, 0, 0, 0, 0]",11,"[{'entity': 'B-ORG', 'score': 0.9989712, 'index': 1, 'word': 'R', 'start': 0, 'end': 1}, {'entity': 'B-ORG', 'score': 0.9572471, 'index': 2, 'word': '##U', 'start': 1, 'end': 2}, {'entity': 'I-ORG', 'score': 0.98970467, 'index': 3, 'word': '##GB', 'start': 2, 'end': 4}, {'entity': 'I-ORG', 'score': 0.9970349, 'index': 4, 'word': '##Y', 'start': 4, 'end': 5}, {'entity': 'I-ORG', 'score': 0.99938893, 'index': 5, 'word': 'UN', 'start': 6, 'end': 8}, {'entity': 'I-ORG', 'score': 0.9955271, 'index': 6, 'word': '##ION', 'start': 8, 'end': 11}, {'entity': 'B-LOC', 'score': 0.8161936, 'index': 8, 'word': 'C', 'start': 14, 'end': 15}, {'entity': 'I-LOC', 'score': 0.47008055, 'index': 9, 'word': '##UT', 'start': 15, 'end': 17}, {'entity': 'I-ORG', 'score': 0.49589944, 'index': 10, 'word': '##TI', 'start': 17, 'end': 19}, {'entity': 'I-ORG', 'score': 0.69083536, 'index': 11, 'word': '##TT', 'start': 19, 'end': 21}, {'entity': 'I-ORG', 'score': 0.53585464, 'index': 12, 'word': '##A', 'start': 21, 'end': 22}]","[3, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0]",9,11
"['ROME', '1996-12-06']","[5, 0]",2,"[{'entity': 'B-LOC', 'score': 0.99675316, 'index': 1, 'word': 'ROM', 'start': 0, 'end': 3}, {'entity': 'I-LOC', 'score': 0.9821369, 'index': 2, 'word': '##E', 'start': 3, 'end': 4}]","[5, 0]",2,2
"['Italy', 'recalled', 'Marcello', 'Cuttitta']","[5, 0, 1, 2]",4,"[{'entity': 'B-LOC', 'score': 0.9998215, 'index': 1, 'word': 'Italy', 'start': 0, 'end': 5}, {'entity': 'B-PER', 'score': 0.9997037, 'index': 3, 'word': 'Marcel', 'start': 15, 'end': 21}, {'entity': 'B-PER', 'score': 0.99739504, 'index': 4, 'word': '##lo', 'start': 21, 'end': 23}, {'entity': 'I-PER', 'score': 0.9997025, 'index': 5, 'word': 'Cut', 'start': 24, 'end': 27}, {'entity': 'I-PER', 'score': 0.98824304, 'index': 6, 'word': '##ti', 'start': 27, 'end': 29}, {'entity': 'I-PER', 'score': 0.9795058, 'index': 7, 'word': '##tta', 'start': 29, 'end': 32}]","[5, 0, 1, 2]",4,4
"['on', 'Friday', 'for', 'their', 'friendly', 'against', 'Scotland', 'at', 'Murrayfield', 'more', 'than', 'a', 'year', 'after', 'the', '30-year-old', 'wing', 'announced', 'he', 'was', 'retiring', 'following', 'differences', 'over', 'selection', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",26,"[{'entity': 'B-LOC', 'score': 0.99977, 'index': 7, 'word': 'Scotland', 'start': 37, 'end': 45}, {'entity': 'B-LOC', 'score': 0.9979207, 'index': 9, 'word': 'Murray', 'start': 49, 'end': 55}, {'entity': 'I-LOC', 'score': 0.99862623, 'index': 10, 'word': '##field', 'start': 55, 'end': 60}]","[0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",26,26
"['Cuttitta', ',', 'who', 'trainer', 'George', 'Coste', 'said', 'was', 'certain', 'to', 'play', 'on', 'Saturday', 'week', ',', 'was', 'named', 'in', 'a', '21-man', 'squad', 'lacking', 'only', 'two', 'of', 'the', 'team', 'beaten', '54-21', 'by', 'England', 'at', 'Twickenham', 'last', 'month', '.']","[1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0]",36,"[{'entity': 'B-PER', 'score': 0.9942678, 'index': 1, 'word': 'Cut', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.78172135, 'index': 2, 'word': '##ti', 'start': 3, 'end': 5}, {'entity': 'B-PER', 'score': 0.9997788, 'index': 7, 'word': 'George', 'start': 23, 'end': 29}, {'entity': 'I-PER', 'score': 0.99967253, 'index': 8, 'word': 'Co', 'start': 30, 'end': 32}, {'entity': 'I-PER', 'score': 0.99624276, 'index': 9, 'word': '##ste', 'start': 32, 'end': 35}, {'entity': 'B-LOC', 'score': 0.99980694, 'index': 38, 'word': 'England', 'start': 153, 'end': 160}, {'entity': 'B-LOC', 'score': 0.99845445, 'index': 40, 'word': 'T', 'start': 164, 'end': 165}, {'entity': 'B-LOC', 'score': 0.9960039, 'index': 41, 'word': '##wick', 'start': 165, 'end': 169}, {'entity': 'I-LOC', 'score': 0.99872917, 'index': 42, 'word': '##enham', 'start': 169, 'end': 174}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",31,36
"['Stefano', 'Bordon', 'is', 'out', 'through', 'illness', 'and', 'Coste', 'said', 'he', 'had', 'dropped', 'back', 'row', 'Corrado', 'Covi', ',', 'who', 'had', 'been', 'recalled', 'for', 'the', 'England', 'game', 'after', 'five', 'years', 'out', 'of', 'the', 'national', 'team', '.']","[1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",34,"[{'entity': 'B-PER', 'score': 0.9997993, 'index': 1, 'word': 'Stefano', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.99973315, 'index': 2, 'word': 'Bo', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.9994759, 'index': 3, 'word': '##rdon', 'start': 10, 'end': 14}, {'entity': 'B-PER', 'score': 0.9996487, 'index': 9, 'word': 'Co', 'start': 42, 'end': 44}, {'entity': 'B-PER', 'score': 0.9342819, 'index': 10, 'word': '##ste', 'start': 44, 'end': 47}, {'entity': 'B-PER', 'score': 0.999511, 'index': 17, 'word': 'Co', 'start': 77, 'end': 79}, {'entity': 'B-PER', 'score': 0.97860754, 'index': 18, 'word': '##rra', 'start': 79, 'end': 82}, {'entity': 'B-PER', 'score': 0.99959105, 'index': 19, 'word': '##do', 'start': 82, 'end': 84}, {'entity': 'I-PER', 'score': 0.9996722, 'index': 20, 'word': 'Co', 'start': 85, 'end': 87}, {'entity': 'I-PER', 'score': 0.9948318, 'index': 21, 'word': '##vi', 'start': 87, 'end': 89}, {'entity': 'B-LOC', 'score': 0.99955624, 'index': 29, 'word': 'England', 'start': 122, 'end': 129}]","[1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",34,34
